id,type,name,latitude,longitude,landuse,natural,leaf_type,source
way-182185821,way,,35.7139979,139.721997,,wood,,OpenStreetMap
way-192050369,way,,35.6396804,139.7313307,forest,,,OpenStreetMap
way-195694695,way,,35.6407476,139.7345992,forest,,,OpenStreetMap
way-196045574,way,,35.7158095,139.7504264,,wood,,OpenStreetMap
way-196943087,way,,35.632843,139.8778287,forest,,,OpenStreetMap
way-198117534,way,,35.6302568,139.7762012,forest,,,OpenStreetMap
way-198117536,way,,35.6300757,139.7762558,forest,,,OpenStreetMap
way-198117537,way,,35.6306899,139.7773565,forest,,,OpenStreetMap
way-198117540,way,,35.6323682,139.7776053,forest,,,OpenStreetMap
way-198117542,way,,35.6263489,139.7693857,forest,,mixed,OpenStreetMap
way-198117544,way,,35.6256705,139.7688421,forest,,,OpenStreetMap
way-198117545,way,,35.6244931,139.7692119,forest,,,OpenStreetMap
way-198117548,way,,35.6341664,139.7761137,forest,,,OpenStreetMap
way-198117624,way,鳥の島,35.6311587,139.7692202,forest,,,OpenStreetMap
way-198117625,way,鳥の島,35.6284486,139.7670489,forest,,,OpenStreetMap
way-203422550,way,,35.6330413,139.8847808,forest,,,OpenStreetMap
way-203425591,way,,35.6314509,139.8802778,forest,,,OpenStreetMap
way-203426139,way,,35.6261003,139.8911008,forest,,,OpenStreetMap
way-203540634,way,,35.6257575,139.8814142,forest,,,OpenStreetMap
way-203564421,way,,35.633629,139.8847666,forest,,,OpenStreetMap
way-203569728,way,,35.6300991,139.8801529,forest,,,OpenStreetMap
way-203658883,way,,35.6266012,139.8801456,forest,,,OpenStreetMap
way-203658885,way,,35.6272723,139.885105,forest,,,OpenStreetMap
way-206058755,way,,35.6724707,139.7201038,forest,,,OpenStreetMap
way-206058764,way,,35.6779107,139.7188157,forest,,,OpenStreetMap
way-206058768,way,,35.6769202,139.7202077,forest,,,OpenStreetMap
way-206058771,way,,35.6753634,139.7207004,forest,,,OpenStreetMap
way-206058776,way,,35.6742329,139.7190839,forest,,broadleaved,OpenStreetMap
way-206058781,way,,35.6786857,139.7177856,forest,,,OpenStreetMap
way-206058793,way,,35.6744823,139.7205128,forest,,,OpenStreetMap
